guid,title,description,link,text,cluster
https://api.spreaker.com/episode/68431379,ביגפוט ודמויי-אדם מיתולוגיים ,"ביגפוט לא לבד: לצד קוף-האדם המיתולוגי של צפון אמריקה אפשר למצוא גם את הייטי הטיבטי, האורנג-פדנק מסומטרה, ההיבגון היפני, האלמס הקווקזי ורבים אחרים. מה פשר המשיכה האנושית למפלצות דמוייות-אדם, מה הסיכוי שיצורים כאלה אכן קיימים - ומי מרוויח מכל הסיפור הזה?. . .",https://www.spreaker.com/episode/455-bygpwt-wdmwyy-dm-mytwlwgyym-s-h-wsym-hystwryh--68431379,"ביגפוט ודמויי-אדם מיתולוגיים . ביגפוט לא לבד: לצד קוף-האדם המיתולוגי של צפון אמריקה אפשר למצוא גם את הייטי הטיבטי, האורנג-פדנק מסומטרה, ההיבגון היפני, האלמס הקווקזי ורבים אחרים. מה פשר המשיכה האנושית למפלצות דמוייות-אדם, מה הסיכוי שיצורים כאלה אכן קיימים - ומי מרוויח מכל הסיפור הזה?. . .",5
https://api.spreaker.com/episode/68200381,התשתית של הקפיטליזם - על הנהלת חשבונות כפולה,"הנהלת חשבונות, במובנה העמוק ביותר, היא שפה לרישום של עסקאות פיננסיות ותנועות מלאי, והיא הלכה והשתכללה במרוצת השנים ככל שהתרבות והכלכלה האנושיות נעשו משוכללות ומתוחכמות ביותר. במאה ה-14 הופיעה באיטליה טכניקה חדשה ופורצת דרך, הנהלת חשבונות כפולה, שבזכותה התאפשר הקפטיליזם המודרני - זה של חברות ענק ושיתוף פעולה חוצה יבשות.",https://www.spreaker.com/episode/454-htstyt-sl-hqpytlyzm-l-hnhlt-hsbwnwt-kpwlh-wsym-hystwryh--68200381,"התשתית של הקפיטליזם - על הנהלת חשבונות כפולה. הנהלת חשבונות, במובנה העמוק ביותר, היא שפה לרישום של עסקאות פיננסיות ותנועות מלאי, והיא הלכה והשתכללה במרוצת השנים ככל שהתרבות והכלכלה האנושיות נעשו משוכללות ומתוחכמות ביותר. במאה ה-14 הופיעה באיטליה טכניקה חדשה ופורצת דרך, הנהלת חשבונות כפולה, שבזכותה התאפשר הקפטיליזם המודרני - זה של חברות ענק ושיתוף פעולה חוצה יבשות.",6
https://api.spreaker.com/episode/67935791,"תמ""ק עוזי - עלייתו ונפילתו של אייקון ישראלי ","העוזי לא היה רק תת-מקלע: הוא היה אייקון ישראלי שצלליתו, יש אומרים, הייתה מפורסמת כמעט כמו זו של בקבוק קוקה קולה והשפן של פלייבוי. עוזיאל גל, האיש שהמציא אותו, נחשב בעיני רבים לאחד הגאונים הגדולים של עולם הנשק. אבל סיפורו של העוזי הוא לא רק סיפור על קנים ובריחים: הוא גם סיפור על יריבויות עזות וקרבות פוליטיים מכוערים, כסף גדול - וגם שיברון לב. אורח בפרק: אלי אשד, מהבלוג 'המולטי-יקום של אלי אשד', פנינה תרבותית מרתקת ואחד האתרים האהובים עלי. תודה לפודקאסטרים שתרמו את קולם לפרק: אילן אבקסיס מהפודקאסט 'דברי הימים', יפתח מזור מ'פה ושם בארץ ישראל', יובל מלחי מ'קטעים', רן תבורי מ'רברס עם פלטפורמה', ראם שרמן ודורון ניר מ'גיקונומי', אבי וולר מ'ההיסטוריה של האימפריה הרומית', עידן כהן שהיה אז העורך הראשי של סיפור משפחתי, ועוד שני פודקאסטרים אמריקניים שהכרתי - ג'ונתן אוקס, ופיליפ וליקה.",https://www.spreaker.com/episode/453-tm-q-wzy-lyytw-wnpyltw-sl-yyqwn-ysr-ly-s-h--67935791,"תמ""ק עוזי - עלייתו ונפילתו של אייקון ישראלי . העוזי לא היה רק תת-מקלע: הוא היה אייקון ישראלי שצלליתו, יש אומרים, הייתה מפורסמת כמעט כמו זו של בקבוק קוקה קולה והשפן של פלייבוי. עוזיאל גל, האיש שהמציא אותו, נחשב בעיני רבים לאחד הגאונים הגדולים של עולם הנשק. אבל סיפורו של העוזי הוא לא רק סיפור על קנים ובריחים: הוא גם סיפור על יריבויות עזות וקרבות פוליטיים מכוערים, כסף גדול - וגם שיברון לב. אורח בפרק: אלי אשד, מהבלוג 'המולטי-יקום של אלי אשד', פנינה תרבותית מרתקת ואחד האתרים האהובים עלי. תודה לפודקאסטרים שתרמו את קולם לפרק: אילן אבקסיס מהפודקאסט 'דברי הימים', יפתח מזור מ'פה ושם בארץ ישראל', יובל מלחי מ'קטעים', רן תבורי מ'רברס עם פלטפורמה', ראם שרמן ודורון ניר מ'גיקונומי', אבי וולר מ'ההיסטוריה של האימפריה הרומית', עידן כהן שהיה אז העורך הראשי של סיפור משפחתי, ועוד שני פודקאסטרים אמריקניים שהכרתי - ג'ונתן אוקס, ופיליפ וליקה.",4
https://api.spreaker.com/episode/67767383,משחק החיים של קונווי,"""משחק החיים"", כשמו כן הוא: משחק, שעשוע שמרתק מיליוני חובבי מתמטיקה בכל רחבי העולם כבר מזה חמישים שנה. אבל מתחת לפני השטח, משחק החיים הוא הרבה יותר ממשחק - הוא דוגמא מרתקת לסוג של מכונות וירטואליות שמכונות 'אוטומטיים תאיים', שיכולות ללמד אותנו כמה דברים מרתקים במיוחד על העולם שלנו - כמו למשל על הסיבות למורכבות של מערכות כמו מזג אוויר, מושבות נמלים ואפילו ההתנהגות האנושית. ואם חוקרים כדוגמת סטיבן וולפרם וקונרד סוזה צודקים - הם אפילו יכולים להוביל אותנו אל תשובה לשאלה הגדולה מכולן: טבעו של היקום.",https://www.spreaker.com/episode/452-mshq-hhyym-sl-qwnwwy-wsym-hystwryh--67767383,"משחק החיים של קונווי. ""משחק החיים"", כשמו כן הוא: משחק, שעשוע שמרתק מיליוני חובבי מתמטיקה בכל רחבי העולם כבר מזה חמישים שנה. אבל מתחת לפני השטח, משחק החיים הוא הרבה יותר ממשחק - הוא דוגמא מרתקת לסוג של מכונות וירטואליות שמכונות 'אוטומטיים תאיים', שיכולות ללמד אותנו כמה דברים מרתקים במיוחד על העולם שלנו - כמו למשל על הסיבות למורכבות של מערכות כמו מזג אוויר, מושבות נמלים ואפילו ההתנהגות האנושית. ואם חוקרים כדוגמת סטיבן וולפרם וקונרד סוזה צודקים - הם אפילו יכולים להוביל אותנו אל תשובה לשאלה הגדולה מכולן: טבעו של היקום.",0
https://api.spreaker.com/episode/67577344,"אניית המערכה ""דרדנוט"" ","ב-1906, בנמל פורתסמות' שבאנגליה, הושקה ספינת המערכה 'דרדנוט' (Dreadnought). ברגע שבו פגש גוף המתכת הקמור של הספינה הבריטית את מי הנמל, השתנה עולם הלוחמה הימית לנצח. כל שאר אניות המערכה בעולם, בכל הציים הפכו בבת אחת ללא רלוונטיות. היא הייתה כה מהפכנית, כה חדשנית וכה רבת-עוצמה, עד שלא ניתן היה להשוות אותה לשום דבר שבא לפניה.",https://www.spreaker.com/episode/451-nyyt-hm-rkh-drdnwt-s-h-wsym-hystwryh--67577344,"אניית המערכה ""דרדנוט"" . ב-1906, בנמל פורתסמות' שבאנגליה, הושקה ספינת המערכה 'דרדנוט' (Dreadnought). ברגע שבו פגש גוף המתכת הקמור של הספינה הבריטית את מי הנמל, השתנה עולם הלוחמה הימית לנצח. כל שאר אניות המערכה בעולם, בכל הציים הפכו בבת אחת ללא רלוונטיות. היא הייתה כה מהפכנית, כה חדשנית וכה רבת-עוצמה, עד שלא ניתן היה להשוות אותה לשום דבר שבא לפניה.",6
https://api.spreaker.com/episode/67411767,עולם ללא מזומן,"היקף השימוש במזומן בישראל - ולמעשה, בכמעט כל המדינות המפותחות בעולם - הולך ויורד בהדרגה בעשרים השנים האחרונות, הודות לחדירתן של האפליקציות ואמצעי התשלום הדיגיטליים האחרים. עושה רושם שהעולם צועד בבטחה לעבר עתיד שבו כמעט, אם בכלל, לא נשתמש עוד בשטרות ומטבעות. מה תהיינה ההשלכות של שינוי תרבותי וכלכלי עמוק שכזה? האם התשתית הטכנולוגית שלנו מוכנה לשינוי שכזה, מדוע חוקקה הכנסת את החוק לצמצום השימוש במזומן - ומדוע החליטה הודו לבטל שתי שטרות נפוצים ביותר מהיום למחר?. . . אורח בפרק: הכלכלן איתי צ'ישנבסקי, יוצר הבלוג 'תועלת שולית'.",https://www.spreaker.com/episode/450-wlm-ll-mzwmn-wsym-hystwryh--67411767,"עולם ללא מזומן. היקף השימוש במזומן בישראל - ולמעשה, בכמעט כל המדינות המפותחות בעולם - הולך ויורד בהדרגה בעשרים השנים האחרונות, הודות לחדירתן של האפליקציות ואמצעי התשלום הדיגיטליים האחרים. עושה רושם שהעולם צועד בבטחה לעבר עתיד שבו כמעט, אם בכלל, לא נשתמש עוד בשטרות ומטבעות. מה תהיינה ההשלכות של שינוי תרבותי וכלכלי עמוק שכזה? האם התשתית הטכנולוגית שלנו מוכנה לשינוי שכזה, מדוע חוקקה הכנסת את החוק לצמצום השימוש במזומן - ומדוע החליטה הודו לבטל שתי שטרות נפוצים ביותר מהיום למחר?. . . אורח בפרק: הכלכלן איתי צ'ישנבסקי, יוצר הבלוג 'תועלת שולית'.",6
https://api.spreaker.com/episode/67234398,ההיסטוריה של אמצעי התשלום,"הכסף מלווה את האנושות עוד משחר ימי ההיסטוריה, אבל האופן הספציפי שבו אנשים משלמים לאנשים אחרים תמורת סחורה או שירות עבר תהפוכות דרמטיות במרוצת השנים. כל שינוי באמצעי התשלום הכריח את הבני האדם להרחיב את מעגל האנשים והארגונים שבהם הם נותנים אמון - והביא עימו, בתורו, שינוי עמוק בתרבות האנושית.",https://www.spreaker.com/episode/449-hhystwryh-sl-mz-y-htslwm-wsym-hystwryh--67234398,"ההיסטוריה של אמצעי התשלום. הכסף מלווה את האנושות עוד משחר ימי ההיסטוריה, אבל האופן הספציפי שבו אנשים משלמים לאנשים אחרים תמורת סחורה או שירות עבר תהפוכות דרמטיות במרוצת השנים. כל שינוי באמצעי התשלום הכריח את הבני האדם להרחיב את מעגל האנשים והארגונים שבהם הם נותנים אמון - והביא עימו, בתורו, שינוי עמוק בתרבות האנושית.",5
https://api.spreaker.com/episode/66909151,ההיסטוריה של מחשוב הענן ,"כיום, התלות שלנו במחשבים שנמצאים אי שם בהאינטרנט - ב""ענן"" - היא כמעט מובנת מאליה: מעטים מאיתנו מסוגלים להסתדר בלי ג'ימייל, ומעטות החברות שלא משתמשות ב-AWS. אבל בימיה המוקדמים של מהפכת המחשוב, הרעיון של המחשב כמשאב חיצוני - בדומה לשירותי המים והחשמל שאנחנו מקבלים מבחוץ ולא מייצרים בעצמנו - לא היה כה מובן מאליו. עלייתה של רשת האינטרנט, ובמיוחד תופעות חברתיות מפתיעות שהביאה עימה כדוגמת ""החיבוק של סטיבן פריי"" - הובילו למהפכה שאנחנו נהנים מפירותיה בימינו.",https://www.spreaker.com/episode/448-hhystwryh-sl-mhswb-h-nn-s-h-wsym-hystwryh--66909151,"ההיסטוריה של מחשוב הענן . כיום, התלות שלנו במחשבים שנמצאים אי שם בהאינטרנט - ב""ענן"" - היא כמעט מובנת מאליה: מעטים מאיתנו מסוגלים להסתדר בלי ג'ימייל, ומעטות החברות שלא משתמשות ב-AWS. אבל בימיה המוקדמים של מהפכת המחשוב, הרעיון של המחשב כמשאב חיצוני - בדומה לשירותי המים והחשמל שאנחנו מקבלים מבחוץ ולא מייצרים בעצמנו - לא היה כה מובן מאליו. עלייתה של רשת האינטרנט, ובמיוחד תופעות חברתיות מפתיעות שהביאה עימה כדוגמת ""החיבוק של סטיבן פריי"" - הובילו למהפכה שאנחנו נהנים מפירותיה בימינו.",2
https://api.spreaker.com/episode/66703615,הטיל הבליסטי הראשון - ורנר פון בראון וה- V-2,"כשניחתו ראשוני טילי ה- V-2 על לונדון בשלהי 1944, הבריטים לא ידעו מה נפל עליהם - מילולית: טילים כה גדולים ורבי עוצמה נחשבו עד אז למדע בדיוני. המוח המבריק שמאחורי נשק הנקמה הנאצי היה ""ילד פלא"" בשם ורנר פון בראון, שבגיל 22 בלבד כבר נחשב למומחה הגדול בעולם להנעה רקטית בדלק נוזלי. פון בראון שיתף פעולה עם המשטר הנאצי כדי להגשים את חלום חייו - לפתח משגר שיוכל להביא את האנושות לחלל - אבל המשחק ששיחק היה משחק מסוכן ביותר: כשהתקרבה מלחמת העולם לסיומה, פון בראון הפך - בזכות הידע הייחודי שצבר - לאחד האנשים המבוקשים בעולם. הגסטפו, הצבא האדום והצבא האמריקני היו כולם בעקבותיו. עוד בפרק: הצטרפו אלי לביקור במתקן פיתוח סודי של אלביט במרכז הארץ כדי לשמוע על תהליך הפיתוח והניסוי של טיל מודרני - 'נץ דורס', אחד הטילים המתקדמים והמאתגרים שפיתחה אלביט מעולם.",https://www.spreaker.com/episode/447-htyl-hblysty-hr-swn-wrnr-pwn-br-wn-wh-v-2-wsym-hystwryh--66703615,"הטיל הבליסטי הראשון - ורנר פון בראון וה- V-2. כשניחתו ראשוני טילי ה- V-2 על לונדון בשלהי 1944, הבריטים לא ידעו מה נפל עליהם - מילולית: טילים כה גדולים ורבי עוצמה נחשבו עד אז למדע בדיוני. המוח המבריק שמאחורי נשק הנקמה הנאצי היה ""ילד פלא"" בשם ורנר פון בראון, שבגיל 22 בלבד כבר נחשב למומחה הגדול בעולם להנעה רקטית בדלק נוזלי. פון בראון שיתף פעולה עם המשטר הנאצי כדי להגשים את חלום חייו - לפתח משגר שיוכל להביא את האנושות לחלל - אבל המשחק ששיחק היה משחק מסוכן ביותר: כשהתקרבה מלחמת העולם לסיומה, פון בראון הפך - בזכות הידע הייחודי שצבר - לאחד האנשים המבוקשים בעולם. הגסטפו, הצבא האדום והצבא האמריקני היו כולם בעקבותיו. עוד בפרק: הצטרפו אלי לביקור במתקן פיתוח סודי של אלביט במרכז הארץ כדי לשמוע על תהליך הפיתוח והניסוי של טיל מודרני - 'נץ דורס', אחד הטילים המתקדמים והמאתגרים שפיתחה אלביט מעולם.",6
https://api.spreaker.com/episode/66369004,ארכימדס ,"ארכימדס איש סירקוסאי זכור בעיקר בזכות המכונות המרשימות שבנה כדי להגן על עירו מפני הרומאים: קרן החום וה'טלפיים' האימתניות שהניפו ספינות מהמים וטילטלו אותן כדגים על חכה. אבל התגלית החשובה ביותר שלו, זו שהקדימה את ניוטון ולייבניץ בכמעט 1900 שנים החשבון האינפיטיסימלי נותרה עלומה, בגלל נזיר נוצרי שהחליט להפוך את כתב היד החשוב שלו לספר תפילה.",https://www.spreaker.com/episode/446-rkymds-s-h-wsym-hystwryh--66369004,"ארכימדס . ארכימדס איש סירקוסאי זכור בעיקר בזכות המכונות המרשימות שבנה כדי להגן על עירו מפני הרומאים: קרן החום וה'טלפיים' האימתניות שהניפו ספינות מהמים וטילטלו אותן כדגים על חכה. אבל התגלית החשובה ביותר שלו, זו שהקדימה את ניוטון ולייבניץ בכמעט 1900 שנים החשבון האינפיטיסימלי נותרה עלומה, בגלל נזיר נוצרי שהחליט להפוך את כתב היד החשוב שלו לספר תפילה.",6
